Cohort Year,School,GSR,FGR
2014,Baylor University,91,69
2014,Bethune-Cookman University,74,54
2014,Boise State University,88,53
2014,Boston College,92,76
2014,Bowling Green State University,72,65
2014,Brigham Young University,80,59
2014,Brown University,95,
2014,Bryant University,94,83
2014,Bucknell University,94,77
2014,"University at Buffalo, the State University of New York",86,69
2014,Butler University,88,
2014,California Polytechnic State University,86,70
2014,"California State University, Fresno",69,58
2014,"California State University, Sacramento",64,41
2014,"University of California, Berkeley",84,76
2014,"University of California, Davis",87,83
2014,"University of California, Los Angeles",71,54
2014,Campbell University,88,77
2014,Central Connecticut State University,65,52
2014,University of Central Florida,82,68
2014,Central Michigan University,81,73
2014,University of Cincinnati,86,67
2014,The Citadel,88,67
2014,Clemson University,88,66
2014,Coastal Carolina University,81,63
2014,Colgate University,93,84
2014,Colorado State University,80,76
2014,"University of Colorado, Boulder",77,56
2014,Columbia University-Barnard College,99,
2014,University of Connecticut,89,78
2014,Cornell University,97,
2014,Dartmouth College,100,
2014,Davidson College,92,
2014,University of Dayton,96,
2014,Delaware State University,71,51
2014,University of Delaware,82,70
2014,Drake University,95,85
2014,Duke University,96,90
2014,Duquesne University,77,66
2014,East Carolina University,72,67
2014,East Tennessee State University,100,
2014,Eastern Illinois University,64,53
2014,Eastern Kentucky University,74,57
2014,Eastern Michigan University,73,59
2014,Eastern Washington University,64,57
2014,Florida A&M University,62,45
2014,Florida Atlantic University,75,60
2014,Florida International University,75,59
2014,Florida State University,58,43
2014,University of Florida,93,37
2014,Fordham University,88,82
2014,Furman University,85,74
2014,Georgetown University,100,94
2014,Georgia Southern University,64,55
2014,Georgia State University,81,70
2014,Georgia Institute of Technology,85,70
2014,University of Georgia,59,39
2014,Grambling State University,65,49
2014,Hampton University,68,48
2014,Harvard University,98,
2014,"University of Hawaii, Manoa",73,47
2014,College of the Holy Cross,98,89
2014,Houston Baptist University,87,68
2014,University of Houston,68,58
2014,Howard University,66,65
2014,Idaho State University,81,57
2014,University of Idaho,73,52
2014,Illinois State University,85,72
2014,University of Illinois Urbana-Champaign,91,79
2014,Indiana State University,72,51
2014,"Indiana University, Bloomington",85,62
2014,Iowa State University,88,70
2014,University of Iowa,87,65
2014,Jackson State University,84,65
2014,Jacksonville State University,80,70
2014,James Madison University,75,64
2014,Kansas State University,93,72
2014,University of Kansas,83,57
2014,Kent State University,81,59
2014,University of Kentucky,86,56
2014,Lafayette College,97,84
2014,Lamar University,68,53
2014,Lehigh University,84,78
2014,Liberty University,67,50
2014,Louisiana State University,61,28
2014,Louisiana Tech University,63,48
2014,University of Louisville,93,82
2014,University of Maine,82,74
2014,Marist College,82,100
2014,Marshall University,81,66
2014,"University of Maryland, College Park",83,73
2014,"University of Massachusetts, Amherst",70,61
2014,McNeese State University,75,73
2014,University of Memphis,90,62
2014,Mercer University,85,86
2014,Merrimack College,73,60
2014,Miami University (Ohio),92,77
2014,University of Miami (Florida),78,47
2014,Michigan State University,84,68
2014,University of Michigan,96,79
2014,Middle Tennessee State University,95,64
2014,"University of Minnesota, Twin Cities",96,78
2014,Mississippi State University,74,62
2014,Mississippi Valley State University,78,53
2014,University of Mississippi,73,55
2014,"University of Missouri, Columbia",77,55
2014,Monmouth University,82,76
2014,Montana State University-Bozeman,71,59
2014,University of Montana,71,59
2014,Morehead State University,69,
2014,Morgan State University,67,58
2014,Murray State University,84,50
2014,"University of North Carolina, Chapel Hill",66,55
2014,The University of North Carolina at Charlotte,70,68
2014,"University of Nebraska, Lincoln",90,65
2014,"University of Nevada, Las Vegas",74,61
2014,"University of Nevada, Reno",84,62
2014,University of New Hampshire,94,82
2014,New Mexico State University,83,63
2014,University of New Mexico,65,42
2014,Nicholls State University,70,63
2014,Norfolk State University,80,67
2014,University of North Alabama,46,42
2014,North Carolina A&T State University,85,69
2014,North Carolina Central University,70,51
2014,North Carolina State University,74,55
2014,North Dakota State University,77,53
2014,University of North Dakota,72,50
2014,University of North Texas,83,62
2014,University of Louisiana Monroe,83,65
2014,Northern Arizona University,75,55
2014,University of Northern Colorado,88,78
2014,Northern Illinois University,82,63
2014,University of Northern Iowa,79,65
2014,Northwestern State University,83,62
2014,Northwestern University,97,94
2014,University of Notre Dame,91,80
2014,The Ohio State University,81,53
2014,Ohio University,91,77
2014,Oklahoma State University,74,57
2014,University of Oklahoma,73,51
2014,Old Dominion University,70,51
2014,Oregon State University,82,69
2014,University of Oregon,73,60
2014,Pennsylvania State University,87,71
2014,University of Pennsylvania,91,90
2014,University of Pittsburgh,93,64
2014,Portland State University,79,69
2014,Prairie View A&M University,64,58
2014,Princeton University,99,100
2014,Purdue University,82,65
2014,University of Rhode Island,81,60
2014,Rice University,91,88
2014,University of Richmond,93,83
2014,Robert Morris University,71,41
2014,"Rutgers, The State University of New Jersey, New Brunswick",71,55
2014,Sacred Heart University,84,68
2014,Saint Francis University (Pennsylvania),75,59
2014,Sam Houston State University,56,59
2014,Samford University,93,80
2014,San Diego State University,84,69
2014,University of San Diego,84,
2014,San Jose State University,67,61
2014,University of South Alabama,79,57
2014,South Carolina State University,80,74
2014,"University of South Carolina, Columbia",89,64
2014,South Dakota State University,77,56
2014,University of South Dakota,88,63
2014,University of South Florida,79,61
2014,Southeast Missouri State University,74,53
2014,Southeastern Louisiana University,75,60
2014,University of Southern California,81,60
2014,Southern Illinois University at Carbondale,78,55
2014,Southern Methodist University,82,67
2014,The University of Southern Mississippi,73,56
2014,"Southern University, Baton Rouge",55,45
2014,Southern Utah University,69,49
2014,Missouri State University,72,64
2014,Texas State University,70,54
2014,University of Louisiana at Lafayette,74,55
2014,Stanford University,93,88
2014,Stephen F. Austin State University,65,47
2014,Stetson University,83,
2014,Stony Brook University,84,60
2014,Syracuse University,88,76
2014,Temple University,89,73
2014,Tennessee State University,63,41
2014,Tennessee Technological University,75,60
2014,University of Tennessee at Chattanooga,80,60
2014,"University of Tennessee, Knoxville",84,52
2014,University of Tennessee at Martin,67,55
2014,"Texas A&M University, College Station",74,54
2014,Texas Christian University,70,57
2014,Texas Southern University,82,56
2014,Texas Tech University,76,52
2014,University of Texas at Austin,79,62
2014,University of Texas at El Paso,85,63
2014,University of Texas at San Antonio,83,62
2014,University of Toledo,87,67
2014,Towson University,88,68
2014,Troy University,80,65
2014,Tulane University,87,76
2014,The University of Tulsa,69,64
2014,U.S. Air Force Academy,89,
2014,U.S. Military Academy,71,
2014,U.S. Naval Academy,89,
2014,Utah State University,89,68
2014,University of Utah,90,69
2014,Valparaiso University,83,
2014,Vanderbilt University,95,77
2014,Villanova University,95,95
2014,Virginia Military Institute,87,70
2014,Virginia Polytechnic Institute and State University,80,68
2014,University of Virginia,86,71
2014,Wagner College,85,77
2014,Wake Forest University,89,75
2014,Washington State University,85,56
2014,University of Washington,85,56
2014,Weber State University,56,33
2014,West Virginia University,74,60
2014,Western Carolina University,87,74
2014,Western Illinois University,80,63
2014,Western Kentucky University,74,57
2014,Western Michigan University,74,40
2014,William & Mary,72,69
2014,University of Wisconsin-Madison,90,81
2014,University of Wyoming,87,52
2014,Yale University,98,
2014,Youngstown State University,66,46
2014,University of Central Arkansas,76,60
2014,Elon University,98,83
2014,Gardner-Webb University,78,63
2014,Kennesaw State University,71,62
2014,Presbyterian College,82,66
2014,Tarleton State University,50,45
2014,"University of Arkansas, Pine Bluff",68,44
2014,University of the Incarnate Word,83,63
2014,Wofford College,92,81
2014,Dixie State University,49,28
