song_id,song_name,artist_name,song_single,song_released,song_genre,song_label,song_songwriter,song_producer
Boulevard of Broken Dreams Green Day,Boulevard of Broken Dreams,Green Day,1,2004,"alt,rock","reprise,warner bros.","billie joe armstrong,mike dirnt,tr� cool","rob cavallo,green day"
In The End Linkin Park,In The End,Linkin Park,1,2001,"alt,rock,metal,pop,rap",warner bros.,"brad delson,chester bennington,joe hahn,mike shinoda,rob bourdon",don gilmore
Seven Nation Army The White Stripes,Seven Nation Army,The White Stripes,1,2003,"alt,rock","xl,v2,third man","jack white, anton bruckner",jack white
By The Way Red Hot Chili Peppers,By The Way,Red Hot Chili Peppers,1,2002,"alt,rock",warner bros.,NA,rick rubin
How You Remind Me Nickelback,How You Remind Me,Nickelback,1,2001,"alt,rock","sony japan,epic","chad kroeger,mike kroeger,ryan peake,ryan vikedal,chad kroeger,mike kroeger,ryan peake,ryan vikedal","rick parashar,nickelback"
Bring Me To Life Evanescence,Bring Me To Life,Evanescence,1,2003,"alt,rock,metal,elect",wind-up,"lee,moody,hodges",dave fortman
Last Resort Papa Roach,Last Resort,Papa Roach,1,2000,"metal,rap",dreamworks,"jacoby shaddix,tobin esperance",jay baumgardner
Are You Gonna Be My Girl Jet,Are You Gonna Be My Girl,Jet,1,2003,rock,elektra,"nic cester,cameron muncey",dave sardy
Mr. Brightside The Killers,Mr. Brightside,The Killers,1,2003,"alt,rock,pop","island,lizard king","brandon flowers,dave keuning,mark stoermer,ronnie vannucci jr.",the killers
Sex on Fire Kings of Leon,Sex on Fire,Kings of Leon,1,2008,"alt,rock","rca,sony","caleb followill,nathan followill,jared followill,matthew followill","angelo petraglia,jacquire king"
The Middle Jimmy Eat World,The Middle,Jimmy Eat World,1,2001,"alt,rock,punk,pop",dreamworks,jimmy eat world,"jimmy eat world,mark trombino"
Numb Linkin Park,Numb,Linkin Park,1,2003,"alt,rock,metal,pop",warner bros.,linkin park,"don gilmore,linkin park"
Smooth Criminal Alien Ant Farm,Smooth Criminal,Alien Ant Farm,0,2001,"alt,metal","new noize,dreamworks",NA,jay baumgardner
Can't Stop Red Hot Chili Peppers,Can't Stop,Red Hot Chili Peppers,1,2003,"alt,rock,rap",warner bros.,"flea, frusciante, kiedis, smith",rick rubin
Chop Suey! System Of A Down,Chop Suey!,System Of A Down,1,2001,"alt,metal",american,"daron malakian,serj tankian","daron malakian,rick rubin,serj tankian"
Take Me Out Franz Ferdinand,Take Me Out,Franz Ferdinand,1,2004,"rock,punk",domino,"alex kapranos,nick mccarthy",tore johansson
I Miss You blink-182,I Miss You,blink-182,1,2004,"alt,rock",geffen,"tom delonge,mark hoppus,travis barker",jerry finn
Best of You Foo Fighters,Best of You,Foo Fighters,1,2005,"alt,rock","bmg,rough trade","dave grohl,taylor hawkins,nate mendel,chris shiflett","nick raskulinecz,foo fighters"
I Write Sins Not Tragedies Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,1,2006,"alt,rock,punk,pop","fueled by ramen,decaydance","ryan ross,brendon urie,spencer smith",matt squire
Kryptonite 3 Doors Down,Kryptonite,3 Doors Down,1,2000,"alt,rock","republic,universal",NA,paul ebersold
The Kill (Bury Me) Thirty Seconds To Mars,The Kill (Bury Me),Thirty Seconds To Mars,1,2006,rock,"immortal,virgin",jared leto,"josh abraham,thirty seconds to mars"
Use Somebody Kings of Leon,Use Somebody,Kings of Leon,1,2008,"alt,rock,pop","rca,sony","caleb followill,nathan followill,jared followill,matthew followill","jacquire king,angelo petraglia"
No One Knows Queens of the Stone Age,No One Knows,Queens of the Stone Age,1,2002,"alt,rock",interscope,"josh homme,mark lanegan","josh homme,eric valentine"
Jerk It Out Caesars,Jerk It Out,Caesars,1,2003,NA,"dolores recordings,virgin,astralwerks ",joakim �hlund,joakim �hlund
Uprising Muse,Uprising,Muse,1,2009,"rock,elect","warner bros.,helium-3",matt bellamy,muse
Hey There Delilah Plain White T's,Hey There Delilah,Plain White T's,1,2006,"pop,folk","hollywood,fearless",tom higgenson,"ariel rechtshaid,sean o'keefe"
Blurry Puddle Of Mudd,Blurry,Puddle Of Mudd,1,2001,"alt,rock","flawless,geffen","wes scantlin,doug ardito,jimmy allen",NA
American Idiot Green Day,American Idiot,Green Day,1,2004,"alt,rock,punk,pop",reprise,NA,"rob cavallo,green day"
Welcome to the Black Parade My Chemical Romance,Welcome to the Black Parade,My Chemical Romance,1,2006,"alt,rock,punk,pop",reprise,"bob bryar,frank iero,ray toro,gerard way,mikey way","rob cavallo,my chemical romance"
Gives You Hell The All-American Rejects,Gives You Hell,The All-American Rejects,1,2008,"rock,punk,pop","dgc,interscope","nick wheeler,tyson ritter",eric valentine
All My Life Foo Fighters,All My Life,Foo Fighters,1,2002,"alt,rock","roswell, rca","dave grohl, taylor hawkins, nate mendel, chris shiflett","foo fighters, nick raskulinecz"
Like a Stone Audioslave,Like a Stone,Audioslave,1,2003,"alt,rock","epic,interscope","brad wilk,chris cornell,tim commerford,tom morello","rick rubin,audioslave"
It's Been Awhile Staind,It's Been Awhile,Staind,1,2001,other,"flip,elektra","aaron lewis,mike mushok,johnny april,jon wysocki",josh abraham
I Hate Everything About You Three Days Grace,I Hate Everything About You,Three Days Grace,1,2003,metal,"jive,zomba",adam gontier,gavin brown
Rollin' (Air Raid Vehicle) Limp Bizkit,Rollin' (Air Raid Vehicle),Limp Bizkit,1,2000,"metal,rap","flip,interscope","william durst,wesley borland,john otto,samuel rivers","fred durst,dj lethal"
Fat Lip Sum 41,Fat Lip,Sum 41,1,2001,"rock,punk,pop,rap",island,"deryck whibley,stevo jocz,dave brownsound,greig nori",jerry finn
The Pretender Foo Fighters,The Pretender,Foo Fighters,1,2007,rock,"roswell,rca","dave grohl,taylor hawkins,nate mendel,chris shiflett",gil norton
Savior Rise Against,Savior,Rise Against,1,2009,"rock,punk","dgc,interscope",rise against,"bill stevenson,jason livermore"
Bodies Drowning Pool,Bodies,Drowning Pool,1,2001,metal,wind-up,"stevie benton,mike luce,c.j. pierce,dave williams",NA
"Sugar, We're Goin Down Fall Out Boy","Sugar, We're Goin Down",Fall Out Boy,1,2005,"punk,pop",island,"pete wentz,patrick stump,joe trohman,andy hurley",neal avron
Last Nite The Strokes,Last Nite,The Strokes,1,2001,"rock,pop","rough trade,rca",julian casablancas,gordon raphael
Through Glass Stone Sour,Through Glass,Stone Sour,1,2006,"alt,rock",roadrunner,"shawn economaki,josh rand,jim root,corey taylor",nick raskulinecz
The Diary of Jane - Single Version Breaking Benjamin,The Diary of Jane - Single Version,Breaking Benjamin,1,2006,rock,hollywood,"benjamin burnley,aaron fink,mark klepaski",david bendeth
Down With the Sickness Disturbed,Down With the Sickness,Disturbed,1,2000,metal,giant,"steve kmak,dan donegan,mike wengren,david draiman",johnny k
Wish You Were Here Incubus,Wish You Were Here,Incubus,1,2001,"alt,rock,metal","epic,immortal","brandon boyd,mike einziger,alex katunich,chris kilmore,jos� pasillas","scott litt,incubus"
Youth Of The Nation P.O.D.,Youth Of The Nation,P.O.D.,1,2001,"alt,rock,rap",atlantic,"noah bernardo,marcos curiel,traa daniels,sonny sandoval",howard benson
Vertigo U2,Vertigo,U2,1,2004,"alt,rock","island,interscope",NA,steve lillywhite
Miss Murder AFI,Miss Murder,AFI,1,2006,"alt,rock,punk",interscope,"david paden marchand,jade puget,adam carson,hunter burgan",jerry finn
I Bet You Look Good On The Dancefloor Arctic Monkeys,I Bet You Look Good On The Dancefloor,Arctic Monkeys,1,2005,"rock,punk",domino,alex turner,jim abbiss
"Steady, As She Goes The Raconteurs","Steady, As She Goes",The Raconteurs,1,2006,"rock,pop",third man,"jack white,brendan benson","jack white,brendan benson"
Falling Away from Me Korn,Falling Away from Me,Korn,1,1999,metal,"immortal,epic","reginald arvizu,jonathan davis,james shaffer,david silveria,brian welch",brendan o'brien
Crawling In The Dark Hoobastank,Crawling In The Dark,Hoobastank,1,2002,metal,island,"dan estrin,chris hesse,markku lappalainen,doug robb",NA
I Stand Alone Godsmack,I Stand Alone,Godsmack,1,2002,metal,universal,sully erna,"murdock,sully erna"
Woman Wolfmother,Woman,Wolfmother,1,2006,"rock,metal,blues",modular,"andrew stockdale,chris ross,myles heskett",dave sardy
Show Me How to Live Audioslave,Show Me How to Live,Audioslave,1,2003,rock,epic,"brad wilk,chris cornell,tim commerford,tom morello",rick rubin
The Red Chevelle,The Red,Chevelle,0,2002,"alt,metal",epic,NA,garth richardson
Remedy Seether,Remedy,Seether,1,2005,"alt,metal",wind-up,shaun morgan,bob marlette
Plug In Baby Muse,Plug In Baby,Muse,1,2001,"alt,rock",mushroom,matt bellamy,"david bottrill,muse"
Change (In the House of Flies) - In The House Of Flies LP Version Deftones,Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,1,2000,"alt,rock",maverick,"stephen carpenter,chi cheng,abe cunningham,chino moreno",terry date
Judith A Perfect Circle,Judith,A Perfect Circle,1,2000,rock,virgin,"billy howerdel,maynard james keenan","billy howerdel,alan moulder"
MIA (feat. Drake) Bad Bunny,MIA (feat. Drake),Bad Bunny,1,2018,other,"rimas,ovo,warner bros.","benito martinez,aubrey graham,edgar semper vargas,elvin pe�a,francis diaz,henry pulman,luian malave nieves,joseph negron velez,noah assad,xavier semper vargas","dj luian,mambo kingz"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B) DJ Snake","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1,2018,other,"geffen,interscope","william grigahcine,ava brignol,jordan thorpe,belcalis alm�nzar,vicente saavedra,selena gomez,juan carlos ozuna,juan v�zquez",dj snake
White Boi Dillon Francis,White Boi,Dillon Francis,0,2018,"rap,elect",idgafos,NA,"dillon francis,james rushent,michael angelakos,ren� p�rez"
Just Wanna Love You (feat. J. Balvin) Cris Cab,Just Wanna Love You (feat. J. Balvin),Cris Cab,NA,NA,pop,"cab,emi,island,def jam,i am other,26",NA,NA
Beautiful (feat. Camila Cabello) Bazzi,Beautiful (feat. Camila Cabello),Bazzi,1,2017,"pop,r&b","iamcosmic,atlantic","andrew bazzi,kevin clark white,michael clinton woods,andrew bazzi,camila cabello,kevin edward brewster white,michael clinton woods","rice n' peas,louis bell  "
Celoso Lele Pons,Celoso,Lele Pons,NA,NA,other,NA,NA,NA
Good Vibes Fuego,Good Vibes,Fuego,NA,NA,"r&b,rap","fireboy music,mr. 305 inc.",NA,NA
Real Friends Camila Cabello,Real Friends,Camila Cabello,0,2017,pop,"epic,syco","camila cabello,adam feeney,louis bell,brian lee,swae lee","frank dukes,vinylz ,bell "
Pa La Calle COASTCITY,Pa La Calle,COASTCITY,NA,NA,NA,NA,NA,NA
Pa Mí Dalex,Pa Mí,Dalex,1,2018,rap,"rich music,ingrooves","pedro david daleccio torres,rafael pab�n cuevas","dimelo flow,rike music"
Wake Up in the Sky Gucci Mane,Wake Up in the Sky,Gucci Mane,1,2018,"pop,hip,hop","guwop,atlantic","radric davis,peter hernandez,bill kapri,chance youngblood,dwan avery,jeff lacroix","tarentino,dy,tre pounds,bruno mars"
Está Rico Marc Anthony,Está Rico,Marc Anthony,1,2018,"rock,pop,r&b",sony latin,"marco mu�iz,willard smith,benito mart�nez,edgar semper-vargas,xavier semper-vargas,tremaine winfrey,nicholaus williams,andy clay,luian malave,noah assad,oscar hern�ndez,brandon green,jes�s herrera,daniel valencia,daniel mizrahi,daniel stephenson","oscarcito,daleplay,daneon"
Banana Clip - Spanish Version Miguel,Banana Clip - Spanish Version,Miguel,1,2017,"pop,r&b","bystorm,rca",NA,"miguel ,mark pitts ,wayne barrow ,arden ""keyz"" altino,jeff bhasker,detail,jerry ""wonda"" duplessis,eyal federman,steve mostyn,happy perez,salaam remi,raphael saadiq,sir dylan,david andrew sitek,sidney swift"
Come With Me Kap G,Come With Me,Kap G,NA,NA,"hip,hop,rap",atlantic,NA,NA
Como Si Na Melii,Como Si Na,Melii,NA,NA,NA,NA,NA,NA
Blah Mariah,Blah,Mariah,NA,NA,"pop,r&b",columbia,NA,"walter afanasieff,mariah carey,rhett lawrence,ben margulies,ric wake,narada michael walden"
Mi Infinita Cuco,Mi Infinita,Cuco,NA,NA,"rock,pop",interscope,NA,NA
Coqueta Katzù Oso,Coqueta,Katzù Oso,NA,NA,NA,NA,NA,NA
Sola Jessie Reyez,Sola,Jessie Reyez,NA,NA,"pop,hip,hop,r&b","fmly,island ,republic ",NA,NA
Nuestro Planeta (feat. Reykon) Kali Uchis,Nuestro Planeta (feat. Reykon),Kali Uchis,1,2018,"alt,pop,hip,hop,r&b","rinse,virgin emi,universal",NA,"autumn rowe,badbadnotgood,david sitek,dj dahi,gorillaz,greg kurstin,jairus mozee,jeff gitty,josh crocker,kali uchis,kevin parker,larrance dopson,midas touch,om'mas keith,romil,sounwave,steve lacy,the rude boyz,the wlderness,thundercat,two inch punch,wayne gordon"
Hijo de Su Madre Omar Apollo,Hijo de Su Madre,Omar Apollo,NA,NA,r&b,awal,NA,NA
Lento Rudy Mancuso,Lento,Rudy Mancuso,NA,NA,other,NA,NA,NA
Dicen Matt Hunter,Dicen,Matt Hunter,NA,NA,"pop,r&b",NA,NA,NA
BEBE 6ix9ine,BEBE,6ix9ine,1,2018,other,"scumgang,tenthousand projects","daniel hernandez,emmanuel gazmey santiago,ronald spence jr.",ronny j
I Like It Cardi B,I Like It,Cardi B,1,2018,rap,atlantic,"belcalis almanzar,benito ocasio,jos� osorio,tony pab�n,marcos masis,jesus nieves,manny rodriguez,jordan thorpe,anthony white,vincent watson,edgar machuca,xavier vargas,edgar vargas,benny bonnilla","j. white did it,tainy,craig kallman,invincible"
Havana - Remix Camila Cabello,Havana - Remix,Camila Cabello,1,2017,pop,"epic,syco","camila cabello,jeffery williams,adam feeney,brittany hazzard,ali tamposi,brian lee,andrew watt,pharrell williams,louis bell,kaan gunesberk",frank dukes
Pum Pum Sammi Sanchez,Pum Pum,Sammi Sanchez,NA,NA,pop,downtown records,NA,NA
Quiero Saber Jesse Baez,Quiero Saber,Jesse Baez,0,1960,folk,vanguard vsd-2077,NA,maynard solomon
Como Kim Viera,Como,Kim Viera,NA,NA,NA,NA,NA,NA
Anywhere Contigo Breakfast n Vegas,Anywhere Contigo,Breakfast n Vegas,1,1999,alt,"fingerlicking good records, antler-subway","olivier jean jacques olivier, praga khan",NA
No Gratis Messiah,No Gratis,Messiah,NA,NA,NA,NA,NA,NA
Díganle - Tainy Remix Leslie Grace,Díganle - Tainy Remix,Leslie Grace,NA,NA,"pop,r&b","cd baby,top stop ,sony latin ",NA,NA
Sangria Wine Pharrell Williams,Sangria Wine,Pharrell Williams,1,2018,pop,columbia,"pharrell williams,camila cabello,bianca landrau","williams,cabello"
All Day DaniLeigh,All Day,DaniLeigh,NA,NA,"pop,hip,hop,r&b","def jam,universal music",NA,NA
Just As I Am Spiff TV,Just As I Am,Spiff TV,1,2017,"pop,r&b",sony latin,NA,"prince royce,d'lesly lora,alison berger,lincoln casta�eda,shakira,rude boyz,olgui chirino,jean rodr�guez,spiff tv,nely,daniel flores,alfredo matheus,arturo brambilla,efra�n d�vila"
Nice & Slow Nina Sky,Nice & Slow,Nina Sky,NA,NA,"hip,hop,r&b","universal,next plateau,la conexi�n,traffic,polo grounds,j,sony ,tommy boy,wea",NA,NA
Scooby Doo Pa Pa (Remix) Dj Kass,Scooby Doo Pa Pa (Remix),Dj Kass,NA,NA,"hip,hop",NA,NA,NA
Don't Werk Paula DeAnda,Don't Werk,Paula DeAnda,NA,NA,"pop,hip,hop,r&b","arista records,sony music,diamond lane music group,dope house records",NA,NA
"1, 2, 3 (feat. Jason Derulo & De La Ghetto) Sofia Reyes","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,1,2018,pop,warner latina,"sof�a reyes,jason derulo,de la ghetto,nicole zignago,ricardo montaner,jon leone,charlie guerrero","jon leone,ricky montaner"
Pa Mi (with Ozuna) Tory Lanez,Pa Mi (with Ozuna),Tory Lanez,NA,NA,"alt,hip,hop,r&b,elect","one umbrella,universal,mad love,interscope,time is money",NA,NA
Lo Siento SUPER JUNIOR,Lo Siento,SUPER JUNIOR,1,2018,"pop,hip,hop,r&b,elect","sm,lsj,iriver","kenzie,heechul,eunhyuk,mario caceres,yasmil marrufo,leslie grace","daniel ""obi"" klein,charli taft,andreas oberg,juan ""play"" salinas,oscar ""skillz"" salinas,play-n-skillz"
Nuestra Cancion Pt. 2 (feat. Arcángel) Snow Tha Product,Nuestra Cancion Pt. 2 (feat. Arcángel),Snow Tha Product,NA,NA,"alt,hip,hop,r&b",independent  product ent. ,NA,NA
La Hora Loca Jackie Cruz,La Hora Loca,Jackie Cruz,NA,NA,pop,NA,NA,NA
Dinero - English Version Trinidad Cardona,Dinero - English Version,Trinidad Cardona,NA,NA,NA,NA,NA,NA
Hora Loca DJ Africa,Hora Loca,DJ Africa,NA,NA,"hip,hop,elect","tommy boy,emi,winley,capitol,dmc,planet rock",NA,NA
Better With You Michl,Better With You,Michl,0,1993,pop,arista,NA,nigel wright and others
NIGHTS LIKE THESE Ne-Yo,NIGHTS LIKE THESE,Ne-Yo,1,2018,"hip,hop,r&b","compound,motown",NA,"ne-yo,stargate,dr. luke,curtis ""sauce"" wilson,made in china,the stereotypes,maejor,dawty music group"
Alright Anthony Ramos,Alright,Anthony Ramos,NA,NA,NA,NA,NA,NA
Insecure Amara La Negra,Insecure,Amara La Negra,NA,NA,pop,"bmg,fast life entertainment",NA,NA
Si Una Vez - (If I Once)[Spanglish Version] Play-N-Skillz,Si Una Vez - (If I Once)[Spanglish Version],Play-N-Skillz,0,1994,other,emi latin,"pete astudillo, a.b. quintanilla","a.b., bebu silvetti"
Finesse (Remix) [feat. Cardi B] Bruno Mars,Finesse (Remix) [feat. Cardi B],Bruno Mars,1,2018,"hip,hop",atlantic,"bruno mars,philip lawrence,christopher brody brown,james fauntleroy,johnathan yip,ray romulus,jeremy reeves,ray mccullough ii,belcalis almanzar,klenord raphael","shampoo press & curl,the stereotypes"
Belong To U Fancy Cars,Belong To U,Fancy Cars,NA,NA,NA,NA,NA,NA
Sunny Daze Salaam Remi,Sunny Daze,Salaam Remi,NA,NA,"pop,hip,hop,r&b","louder than life records,flying buddha,boomtunes,norfside records",NA,NA
"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix) N.O.R.E.","Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",N.O.R.E.,NA,NA,"hip,hop","penalty,def jam,roc-la-familia,tommy boy,babygrande,conglomerate,millitainment business",NA,NA
Island Lil Eddie,Island,Lil Eddie,NA,NA,"hip,hop,r&b",emi,NA,NA
Crazy In Love Beyoncé,Crazy In Love,Beyoncé,1,2003,"hip,hop,r&b","columbia,music world,parkwood,columbia","rich harrison,beyonc� knowles,eugene record,shawn carter,beyonc� knowles,rich harrison,shawn carter,eugene record","rich harrison,beyonc� knowles,boots,margot"
Rock Your Body Justin Timberlake,Rock Your Body,Justin Timberlake,1,2003,r&b,jive,"justin timberlake,chad hugo,pharrell williams",the neptunes
Beautiful Girls Sean Kingston,Beautiful Girls,Sean Kingston,1,2007,r&b,"da family,blackground","kisean anderson,ben e. king,j.r. rotem,jerry leiber,mike stoller,peter harrison","j.r. rotem,peter harrison"
Toxic Britney Spears,Toxic,Britney Spears,1,2004,pop,jive,"cathy dennis,christian karlsson,pontus winnberg,henrik jonback",bloodshy & avant
Michael Jackson x Mark Ronson: Diamonds are Invincible Michael Jackson,Michael Jackson x Mark Ronson: Diamonds are Invincible,Michael Jackson,1,2018,"rock,pop,blues",epic,"michael jackson,teddy riley,bernard belle,steve porcaro,john bettis,rodney jerkins,fred jerkins iii,lashawn daniels,nora payne",mark ronson
Yeah! Usher,Yeah!,Usher,1,2004,"hip,hop",arista,"christopher bridges,james phillips,jonathan smith,lamarquis jefferson,patrick smith,sean garrett",lil jon
Live Your Life (feat. Rihanna) T.I.,Live Your Life (feat. Rihanna),T.I.,1,2008,"hip,hop,r&b","grand hustle,atlantic","dan balan,clifford harris,makeba riddick,justin smith","just blaze,canei finch"
Hips Don't Lie Shakira,Hips Don't Lie,Shakira,1,2006,other,"epic,sony","shakira,omar alfanno,latavia parker,vinay rao",shakira
"Hey, Soul Sister Train","Hey, Soul Sister",Train,1,2009,"rock,pop","columbia,sony","patrick monahan,espen lind,amund bj�rklund","espionage,martin terefe,gregg wattenberg"
Pumped Up Kicks Foster The People,Pumped Up Kicks,Foster The People,1,2010,pop,"columbia,startime",mark foster,mark foster
Love Never Felt so Good Michael Jackson,Love Never Felt so Good,Michael Jackson,1,2014,other,"epic,mjj","michael jackson,paul anka","michael jackson,john mcclain,giorgio tuinfort,timbaland,justin timberlake,j-roc"
Hall of Fame The Script,Hall of Fame,The Script,1,2012,"alt,rock,pop,folk","epic,phonogenic","danny o'donoghue,mark sheehan,james barry","danny o'donoghue,mark sheehan,jimbo barry"
All of Me John Legend,All of Me,John Legend,1,2013,"pop,r&b","good,columbia","john stephens,toby gad","dave tozer,john legend"
Drops of Jupiter Train,Drops of Jupiter,Train,1,2001,"alt,rock,pop",columbia,NA,brendan o'brien
We Can't Stop Miley Cyrus,We Can't Stop,Miley Cyrus,1,2013,"pop,r&b,elect",rca,"mike l. williams ii,pierre ramon slaughter,timothy thomas,theron thomas,miley cyrus,douglas davis,ricky walters","mike will made it,p-nasty,rock city"
Fighter Christina Aguilera,Fighter,Christina Aguilera,1,2003,"rock,r&b",rca,"christina aguilera,scott storch",storch
Since U Been Gone Kelly Clarkson,Since U Been Gone,Kelly Clarkson,1,2004,"alt,rock,pop",rca,"max martin,lukasz gottwald","max martin,dr. luke"
Hey Ya! - Radio Mix / Club Mix OutKast,Hey Ya! - Radio Mix / Club Mix,OutKast,1,2003,pop,"laface,arista",andr� 3000,andr� 3000
TiK ToK Kesha,TiK ToK,Kesha,1,2009,"pop,elect",rca,"kesha sebert,dr. luke,benny blanco","dr. luke,benny blanco"
Look At Me Now Chris Brown,Look At Me Now,Chris Brown,1,2011,"hip,hop",jive,"chris brown,thomas wesley pentz,jean baptiste,ryan buendia,dwayne carter,trevor smith,nick van de wall","diplo,afrojack,free school"
SexyBack Justin Timberlake,SexyBack,Justin Timberlake,1,2006,"pop,hip,hop,r&b,elect","jive,zomba","justin timberlake,tim mosley,nate ""danja"" hills","timbaland,justin timberlake,nate ""danja"" hills"
With You Chris Brown,With You,Chris Brown,1,2007,r&b,"jive,zomba","chris brown,johnt� austin,tor erik hermansen,mikkel eriksen,espen lind,amund bj�rklund",stargate
Breakeven The Script,Breakeven,The Script,1,2008,"rock,pop",sony music,"frampton,o'donoghue,sheehan,kipner","frampton,kipner"
I Know You Want Me (Calle Ocho) Pitbull,I Know You Want Me (Calle Ocho),Pitbull,1,2009,other,"the orchard,ultra,j,polo grounds,mr. 305","armando per�z,edward bello,daniel seraphine,david wolinski,nicola fasano,paul gonella,stefano bosco",lil jon
Bye Bye Bye *NSYNC,Bye Bye Bye,*NSYNC,1,2000,pop,jive,"kristian lundin,jake schulze,andreas carlsson","lundin,schulze"
Complicated Avril Lavigne,Complicated,Avril Lavigne,1,2002,"rock,pop",arista,"avril lavigne,lauren christy,scott spock,graham edwards",the matrix
Let Me Love You Mario,Let Me Love You,Mario,1,2004,r&b,"j,epic","shaffer smith,kameron houff,scott storch",scott storch
Beautiful Christina Aguilera,Beautiful,Christina Aguilera,1,2002,"pop,r&b",rca,linda perry,linda perry
Raise Your Glass P!nk,Raise Your Glass,P!nk,1,2010,pop,"laface,jive,rca","pink,max martin,johan schuster","max martin,shellback"
Timber Pitbull,Timber,Pitbull,1,2013,"pop,folk","polo grounds,rca,mr. 305","kesha sebert,armando c. p�rez,lukasz gottwald,aaron davis arnold,priscilla hamilton,jamie sanderson,breyan isaac,henry walter,pebe sebert,lee oskar,keri oskar,greg errico,steve arrington,charles carter,waung hankerson,roger parker","dr. luke,cirkut,sermstyle"
What Makes You Beautiful One Direction,What Makes You Beautiful,One Direction,1,2011,pop,"syco,columbia","savan kotecha,rami yacoub,carl falk","rami yacoub,carl falk"
No One Alicia Keys,No One,Alicia Keys,1,2007,r&b,j,"alicia keys,kerry brothers jr.,george m. harry","alicia keys,kerry ""krucial"" brothers"
Sk8er Boi Avril Lavigne,Sk8er Boi,Avril Lavigne,1,2002,"punk,pop",arista,"avril lavigne,lauren christy,scott spock,graham edwards",the matrix
Womanizer Britney Spears,Womanizer,Britney Spears,1,2008,"pop,elect","jive,zomba",the outsyders,the outsyders
Give Me Everything Pitbull,Give Me Everything,Pitbull,1,2011,"pop,hip,hop,rap","polo grounds,j,mr. 305","armando p�rez,nick van de wall,shaffer smith",afrojack
Single Ladies (Put a Ring on It) Beyoncé,Single Ladies (Put a Ring on It),Beyoncé,1,2008,"pop,r&b",columbia,"beyonc� knowles,christopher ""tricky"" stewart,terius ""the-dream"" nash,thaddis harrell","stewart,nash,beyonc� knowles"
Bleeding Love Leona Lewis,Bleeding Love,Leona Lewis,1,2007,"pop,r&b","syco,j","jesse mccartney,ryan tedder,jesse mccartney,ryan tedder",ryan tedder
Lose My Breath Destiny's Child,Lose My Breath,Destiny's Child,1,2004,"pop,r&b",columbia,"beyonc� knowles,kelendria rowland,michelle williams,rodney ""darkchild"" jerkins,fred jerkins iii,sean garrett,lashawn daniels,shawn corey carter","darkchild,beyonc� knowles,kelendria rowland,sean garrett"
Love Song Sara Bareilles,Love Song,Sara Bareilles,1,2007,"rock,pop",epic,sara bareilles,eric rosse
Ms. Jackson OutKast,Ms. Jackson,OutKast,1,2000,"alt,hip,hop","arista,laface","andr� benjamin,antwan patton,david sheats,richard wagner,stan watts,shuggie otis",earthtone iii
Die Young Kesha,Die Young,Kesha,1,2012,"pop,elect","rca,kemosabe","kesha sebert,lukasz gottwald,benjamin levin,nathaniel ruess,henry walter","dr. luke,benny blanco,cirkut"
Survivor Destiny's Child,Survivor,Destiny's Child,1,2001,"pop,r&b",columbia,NA,"anthony dent,k-fam,mark j. feist,rob fusari,beyonc� knowles,errol ""poppi"" mccalla jr,falonte moore,poke & tone,rapture & e. seats,cory rooney,dwayne wiggins"
Oops!...I Did It Again Britney Spears,Oops!...I Did It Again,Britney Spears,1,2000,pop,jive,NA,"timmy allen,larry ""rock"" campbell,barry j. eastmond,jake,robert ""esmail"" jazayeri,rodney jerkins,david kreuger,robert john ""mutt"" lange,kristian lundin,steve lunt,per magnusson,max martin,rami,paul umbach,eric foster white"
Cry Me a River Justin Timberlake,Cry Me a River,Justin Timberlake,1,2002,r&b,jive,"justin timberlake,timothy mosley,scott storch",timbaland
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,1,2013,other,"daft life,columbia","thomas bangalter,guy-manuel de homem-christo,nile rodgers,pharrell williams","thomas bangalter,guy-manuel de homem-christo"
Whatever You Like T.I.,Whatever You Like,T.I.,1,2008,"pop,rap","grand hustle,atlantic","clifford harris,james scheffer,david siegel",jim jonsin
"One, Two Step Ciara","One, Two Step",Ciara,1,2004,other,"laface,sho'nuff","ciara harris,melissa ""missy"" elliott,phalon ""jazze pha"" alexander,mary ""teena marie"" brockert,allen mcgrier","jazze pha,pierre medor"
Unwritten Natasha Bedingfield,Unwritten,Natasha Bedingfield,1,2004,"pop,r&b","phonogenic,epic","natasha bedingfield,danielle brisebois,wayne rodrigues","wayne rodrigues,danielle brisebois"
Wrecking Ball Miley Cyrus,Wrecking Ball,Miley Cyrus,1,2013,pop,rca,"maureen mcdonald,stephan moccio,sacha skarbek,david kim,lukasz gottwald,cirkut","dr. luke,cirkut"
So What P!nk,So What,P!nk,1,2008,"rock,pop,r&b",laface,"pink,max martin,shellback",max martin
